study,year,location,state,cultivar,data_sowing,brand_name,group,active_ingredient,n,mean_sev,mean_inc,mean_yld,mean_index,v_sev,v_inc,v_yld,v_index,yld_check,v_yld_check,sev_check,v_sev_check,inc_check,v_inc_check,index_check,v_index_check,region
18,2014,Palmeira,PR,TBIO TIBAGI,20/06/2014,Tebuco Nortox,DMI,TEBU,4,5.1375,21,3215.4525000000003,1.07375,3.182719841269848,2.448412698412707,20828.558217063488,0.6330246569047627,2937.0474999999997,20828.558217063488,22.105,3.182719841269848,36.25,2.448412698412707,8.07725,0.6330246569047627,South
18,2014,Palmeira,PR,TBIO TIBAGI,20/06/2014,Unizeb800WP,DTC,MANC,4,10.5,26.5,3028.7225,2.79075,3.182719841269848,2.448412698412707,20828.558217063488,0.6330246569047627,2937.0474999999997,20828.558217063488,22.105,3.182719841269848,36.25,2.448412698412707,8.07725,0.6330246569047627,South
19,2015,Londrina,PR,IPRCaturaraTM,10/03/2015,check,check,AACHECK,4,83.95,87.5,71,74.2154,114.20060930451113,95.74451127819547,48379.529135338344,128.76131481921044,71,48379.529135338344,83.95,114.20060930451113,87.5,95.74451127819547,74.2154,128.76131481921044,South
19,2015,Londrina,PR,IPRCaturaraTM,10/03/2015,Fox,QoI+DMI,TFLX+PROT,4,27.75,36.875,863.75,10.860899999999999,114.20060930451113,95.74451127819547,48379.529135338344,128.76131481921044,71,48379.529135338344,83.95,114.20060930451113,87.5,95.74451127819547,74.2154,128.76131481921044,South
19,2015,Londrina,PR,IPRCaturaraTM,10/03/2015,Manzate800WP,DTC,MANC,4,33.95,43.975,507.25,15.5563,114.20060930451113,95.74451127819547,48379.529135338344,128.76131481921044,71,48379.529135338344,83.95,114.20060930451113,87.5,95.74451127819547,74.2154,128.76131481921044,South
19,2015,Londrina,PR,IPRCaturaraTM,10/03/2015,Nativo,QoI+DMI,TFLX+TEBU,4,48.375,63.65,561.75,31.80965,114.20060930451113,95.74451127819547,48379.529135338344,128.76131481921044,71,48379.529135338344,83.95,114.20060930451113,87.5,95.74451127819547,74.2154,128.76131481921044,South
19,2015,Londrina,PR,IPRCaturaraTM,10/03/2015,Unizeb Gold,DTC,MANC,4,31.1975,51.225,701.5,16.257350000000002,114.20060930451113,95.74451127819547,48379.529135338344,128.76131481921044,71,48379.529135338344,83.95,114.20060930451113,87.5,95.74451127819547,74.2154,128.76131481921044,South
20,2015,Londrina,PR,IPRCaturaraTM,10/04/2015,check,check,AACHECK,4,68.875,31.8075,761.27,22.7910125,107.45384615384637,8.864353846153879,9583.74160942308,21.768305306601004,761.27,9583.74160942308,68.875,107.45384615384637,31.8075,8.864353846153879,22.7910125,21.768305306601004,South
20,2015,Londrina,PR,IPRCaturaraTM,10/04/2015,Fox,QoI+DMI,TFLX+PROT,4,45.125,14.4775,984.2375,6.732562499999999,107.45384615384637,8.864353846153879,9583.74160942308,21.768305306601004,761.27,9583.74160942308,68.875,107.45384615384637,31.8075,8.864353846153879,22.7910125,21.768305306601004,South
20,2015,Londrina,PR,IPRCaturaraTM,10/04/2015,Manzate800WP,DTC,MANC,4,18.625,3.5125,1226.0875,0.655125,107.45384615384637,8.864353846153879,9583.74160942308,21.768305306601004,761.27,9583.74160942308,68.875,107.45384615384637,31.8075,8.864353846153879,22.7910125,21.768305306601004,South
20,2015,Londrina,PR,IPRCaturaraTM,10/04/2015,Nativo,QoI+DMI,TFLX+TEBU,4,45.875,18.2275,960.67,8.4352375,107.45384615384637,8.864353846153879,9583.74160942308,21.768305306601004,761.27,9583.74160942308,68.875,107.45384615384637,31.8075,8.864353846153879,22.7910125,21.768305306601004,South
20,2015,Londrina,PR,IPRCaturaraTM,10/04/2015,Unizeb Gold,DTC,MANC,4,24.625,4.5625,1305.26,1.2660624999999999,107.45384615384637,8.864353846153879,9583.74160942308,21.768305306601004,761.27,9583.74160942308,68.875,107.45384615384637,31.8075,8.864353846153879,22.7910125,21.768305306601004,South
21,2015,Palmeira,PR,CELEBRA,10/06/2015,Azimut,QoI+DMI,AZOX+TEBU,4,10.5,1.94,1485.3825,0.214225,15.66269841269842,3.502881746031747,20557.70523412695,0.5762493826587305,1100.59,20557.70523412695,30,15.66269841269842,14.615,3.502881746031747,4.4979000000000005,0.5762493826587305,South
21,2015,Palmeira,PR,CELEBRA,10/06/2015,check,check,AACHECK,4,30,14.615,1100.59,4.4979000000000005,15.66269841269842,3.502881746031747,20557.70523412695,0.5762493826587305,1100.59,20557.70523412695,30,15.66269841269842,14.615,3.502881746031747,4.4979000000000005,0.5762493826587305,South
21,2015,Palmeira,PR,CELEBRA,10/06/2015,Fox,QoI+DMI,TFLX+PROT,4,15.25,3.205,1725.2849999999999,0.5156,15.66269841269842,3.502881746031747,20557.70523412695,0.5762493826587305,1100.59,20557.70523412695,30,15.66269841269842,14.615,3.502881746031747,4.4979000000000005,0.5762493826587305,South
21,2015,Palmeira,PR,CELEBRA,10/06/2015,Nativo,QoI+DMI,TFLX+TEBU,4,15.5,4.9275,1453.795,0.773925,15.66269841269842,3.502881746031747,20557.70523412695,0.5762493826587305,1100.59,20557.70523412695,30,15.66269841269842,14.615,3.502881746031747,4.4979000000000005,0.5762493826587305,South
21,2015,Palmeira,PR,CELEBRA,10/06/2015,Unizeb800WP,DTC,MANC,4,16.5,6.2325,1628.0124999999998,1.11805,15.66269841269842,3.502881746031747,20557.70523412695,0.5762493826587305,1100.59,20557.70523412695,30,15.66269841269842,14.615,3.502881746031747,4.4979000000000005,0.5762493826587305,South
22,2015,Itaberá,SP,QUARTZO,13/02/2015,check,check,AACHECK,4,64.1,57.8725,1566.35,39.28198725,277.1173361111106,254.05301388888878,6005.454163888829,360.71355422020156,1566.35,6005.454163888829,64.1,277.1173361111106,57.8725,254.05301388888878,39.28198725,360.71355422020156,South
22,2015,Itaberá,SP,QUARTZO,13/02/2015,Fox,QoI+DMI,TFLX+PROT,4,61.375,51.8475,1640.1225,33.697573999999996,277.1173361111106,254.05301388888878,6005.454163888829,360.71355422020156,1566.35,6005.454163888829,64.1,277.1173361111106,57.8725,254.05301388888878,39.28198725,360.71355422020156,South
22,2015,Itaberá,SP,QUARTZO,13/02/2015,Nativo,QoI+DMI,TFLX+TEBU,4,67.5325,60.62,1447.1799999999998,41.563320250000004,277.1173361111106,254.05301388888878,6005.454163888829,360.71355422020156,1566.35,6005.454163888829,64.1,277.1173361111106,57.8725,254.05301388888878,39.28198725,360.71355422020156,South
23,2015,Campo Verde,MT,BRS 404,10/03/2015,check,check,AACHECK,4,70.2875,100,NA,70.2875,140.01781596638662,125.12838468720817,NA,174.7611292097048,NA,NA,70.2875,140.01781596638662,100,125.12838468720817,70.2875,174.7611292097048,North
23,2015,Campo Verde,MT,BRS 404,10/03/2015,Fox,QoI+DMI,TFLX+PROT,4,54.045,97.5,NA,53.308749999999996,140.01781596638662,125.12838468720817,NA,174.7611292097048,NA,NA,70.2875,140.01781596638662,100,125.12838468720817,70.2875,174.7611292097048,North
23,2015,Campo Verde,MT,BRS 404,10/03/2015,Nativo,QoI+DMI,TFLX+TEBU,4,51.449999999999996,82.5,NA,44.5725,140.01781596638662,125.12838468720817,NA,174.7611292097048,NA,NA,70.2875,140.01781596638662,100,125.12838468720817,70.2875,174.7611292097048,North
23,2015,Campo Verde,MT,BRS 404,10/03/2015,Unizeb Gold,DTC,MANC,4,39.325,85,NA,34.94,140.01781596638662,125.12838468720817,NA,174.7611292097048,NA,NA,70.2875,140.01781596638662,100,125.12838468720817,70.2875,174.7611292097048,North
24,2015,Uberaba,MG,BRS 264,10/03/2015,check,check,AACHECK,4,69.25,41.845,NA,29.298675,34.85833333333332,20.858933333333365,NA,19.293543500666672,NA,NA,69.25,34.85833333333332,41.845,20.858933333333365,29.298675,19.293543500666672,North
24,2015,Uberaba,MG,BRS 264,10/03/2015,Fox,QoI+DMI,TFLX+PROT,4,50,30.630000000000003,NA,16.2905,34.85833333333332,20.858933333333365,NA,19.293543500666672,NA,NA,69.25,34.85833333333332,41.845,20.858933333333365,29.298675,19.293543500666672,North
24,2015,Uberaba,MG,BRS 264,10/03/2015,Nativo,QoI+DMI,TFLX+TEBU,4,55,30.4,NA,17.2609,34.85833333333332,20.858933333333365,NA,19.293543500666672,NA,NA,69.25,34.85833333333332,41.845,20.858933333333365,29.298675,19.293543500666672,North
24,2015,Uberaba,MG,BRS 264,10/03/2015,Unizeb800WP,DTC,MANC,4,66.75,32.38,NA,22.16345,34.85833333333332,20.858933333333365,NA,19.293543500666672,NA,NA,69.25,34.85833333333332,41.845,20.858933333333365,29.298675,19.293543500666672,North
25,2016,Londrina,PR,BRS SABIÁ,21/03/2019,check,check,AACHECK,4,8.5,15.75,1187.75,1.615,9.34586466165413,22.481203007518786,77121.17951127818,0.5506758458646616,1187.75,77121.17951127818,8.5,9.34586466165413,15.75,22.481203007518786,1.615,0.5506758458646616,South
25,2016,Londrina,PR,BRS SABIÁ,21/03/2019,Fox,QoI+DMI,TFLX+PROT,4,8.5,13.25,1755,1.345,9.34586466165413,22.481203007518786,77121.17951127818,0.5506758458646616,1187.75,77121.17951127818,8.5,9.34586466165413,15.75,22.481203007518786,1.615,0.5506758458646616,South
25,2016,Londrina,PR,BRS SABIÁ,21/03/2019,Manzate800WP,DTC,MANC,4,3.25,8.25,1588.75,0.3075,9.34586466165413,22.481203007518786,77121.17951127818,0.5506758458646616,1187.75,77121.17951127818,8.5,9.34586466165413,15.75,22.481203007518786,1.615,0.5506758458646616,South
25,2016,Londrina,PR,BRS SABIÁ,21/03/2019,Nativo,QoI+DMI,TFLX+TEBU,4,5,8,1734.5,0.53,9.34586466165413,22.481203007518786,77121.17951127818,0.5506758458646616,1187.75,77121.17951127818,8.5,9.34586466165413,15.75,22.481203007518786,1.615,0.5506758458646616,South
25,2016,Londrina,PR,BRS SABIÁ,21/03/2019,Unizeb Gold,DTC,MANC,4,3.25,5.75,1266.5,0.245,9.34586466165413,22.481203007518786,77121.17951127818,0.5506758458646616,1187.75,77121.17951127818,8.5,9.34586466165413,15.75,22.481203007518786,1.615,0.5506758458646616,South
26,2016,Palmeira,PR,CELEBRA,25/05/2016,check,check,AACHECK,4,7.925,3.17,2521.69,0.25024250000000003,3.830326923076923,0.120369423076923,34017.86974230761,0.0012685040807692287,2521.69,34017.86974230761,7.925,3.830326923076923,3.17,0.120369423076923,0.25024250000000003,0.0012685040807692287,South
26,2016,Palmeira,PR,CELEBRA,25/05/2016,Fox,QoI+DMI,TFLX+PROT,4,2.2,1.34,2959.4,0.028925,3.830326923076923,0.120369423076923,34017.86974230761,0.0012685040807692287,2521.69,34017.86974230761,7.925,3.830326923076923,3.17,0.120369423076923,0.25024250000000003,0.0012685040807692287,South
26,2016,Palmeira,PR,CELEBRA,25/05/2016,Manzate800WP,DTC,MANC,4,3.125,1.4725,3170.7000000000003,0.04606,3.830326923076923,0.120369423076923,34017.86974230761,0.0012685040807692287,2521.69,34017.86974230761,7.925,3.830326923076923,3.17,0.120369423076923,0.25024250000000003,0.0012685040807692287,South
26,2016,Palmeira,PR,CELEBRA,25/05/2016,Nativo,QoI+DMI,TFLX+TEBU,4,4.85,1.6575,2713.67,0.07561499999999999,3.830326923076923,0.120369423076923,34017.86974230761,0.0012685040807692287,2521.69,34017.86974230761,7.925,3.830326923076923,3.17,0.120369423076923,0.25024250000000003,0.0012685040807692287,South
26,2016,Palmeira,PR,CELEBRA,25/05/2016,Unizeb Gold,DTC,MANC,4,3.15,1.195,3129.545,0.036595,3.830326923076923,0.120369423076923,34017.86974230761,0.0012685040807692287,2521.69,34017.86974230761,7.925,3.830326923076923,3.17,0.120369423076923,0.25024250000000003,0.0012685040807692287,South
27,2016,Planaltina,DF,BRS 208,03/07/2016,check,check,AACHECK,4,7.5,0.75,1449.5,0.07500000000000001,38.888888888888886,0.3888888888888889,79494.58333333333,0.010833333333333328,1449.5,79494.58333333333,7.5,38.888888888888886,0.75,0.3888888888888889,0.07500000000000001,0.010833333333333328,North
27,2016,Planaltina,DF,BRS 208,03/07/2016,Fox,QoI+DMI,TFLX+PROT,4,2.5,0.25,1501.75,0.025,38.888888888888886,0.3888888888888889,79494.58333333333,0.010833333333333328,1449.5,79494.58333333333,7.5,38.888888888888886,0.75,0.3888888888888889,0.07500000000000001,0.010833333333333328,North
27,2016,Planaltina,DF,BRS 208,03/07/2016,Nativo,QoI+DMI,TFLX+TEBU,4,7.5,0.75,1390,0.125,38.888888888888886,0.3888888888888889,79494.58333333333,0.010833333333333328,1449.5,79494.58333333333,7.5,38.888888888888886,0.75,0.3888888888888889,0.07500000000000001,0.010833333333333328,North
27,2016,Planaltina,DF,BRS 208,03/07/2016,Unizeb Gold,DTC,MANC,4,2.5,0.25,1667.25,0.025,38.888888888888886,0.3888888888888889,79494.58333333333,0.010833333333333328,1449.5,79494.58333333333,7.5,38.888888888888886,0.75,0.3888888888888889,0.07500000000000001,0.010833333333333328,North
28,2016,Campo Verde,MT,BRS 404,22/03/2016,check,check,AACHECK,4,62.8,19.5,562,12.3285,70.85062499999998,0.249999999999999,24131.78472222223,3.026260027777776,562,24131.78472222223,62.8,70.85062499999998,19.5,0.249999999999999,12.3285,3.026260027777776,North
28,2016,Campo Verde,MT,BRS 404,22/03/2016,Fox,QoI+DMI,TFLX+PROT,4,66.4,20,683.75,13.280000000000001,70.85062499999998,0.249999999999999,24131.78472222223,3.026260027777776,562,24131.78472222223,62.8,70.85062499999998,19.5,0.249999999999999,12.3285,3.026260027777776,North
28,2016,Campo Verde,MT,BRS 404,22/03/2016,Nativo,QoI+DMI,TFLX+TEBU,4,67.825,20,736.25,13.565,70.85062499999998,0.249999999999999,24131.78472222223,3.026260027777776,562,24131.78472222223,62.8,70.85062499999998,19.5,0.249999999999999,12.3285,3.026260027777776,North
28,2016,Campo Verde,MT,BRS 404,22/03/2016,Unizeb Gold,DTC,MANC,4,54.599999999999994,20,850.75,10.92,70.85062499999998,0.249999999999999,24131.78472222223,3.026260027777776,562,24131.78472222223,62.8,70.85062499999998,19.5,0.249999999999999,12.3285,3.026260027777776,North
